sensor,subset_id,sample_id
RedEdge,001,frame0103
RedEdge,001,frame0104
RedEdge,001,frame0105
RedEdge,001,frame0110
RedEdge,001,frame0111
RedEdge,001,frame0112
RedEdge,001,frame0113
RedEdge,001,frame0114
RedEdge,001,frame0115
RedEdge,001,frame0116
RedEdge,001,frame0121
RedEdge,001,frame0122
RedEdge,001,frame0123
RedEdge,001,frame0124
RedEdge,001,frame0125
RedEdge,001,frame0126
RedEdge,001,frame0132
RedEdge,001,frame0133
RedEdge,001,frame0134
RedEdge,001,frame0135
RedEdge,001,frame0136
RedEdge,001,frame0143
RedEdge,001,frame0144
RedEdge,001,frame0145
RedEdge,001,frame0146
RedEdge,001,frame0154
RedEdge,001,frame0155
RedEdge,001,frame0156
RedEdge,001,frame0157
RedEdge,001,frame0165
RedEdge,001,frame0166
RedEdge,001,frame0167
RedEdge,002,frame0008
RedEdge,002,frame0009
RedEdge,002,frame0010
RedEdge,002,frame0021
RedEdge,002,frame0022
RedEdge,002,frame0023
RedEdge,002,frame0024
RedEdge,002,frame0025
RedEdge,002,frame0034
RedEdge,002,frame0035
RedEdge,002,frame0036
RedEdge,002,frame0037
RedEdge,002,frame0038
RedEdge,002,frame0039
RedEdge,002,frame0047
RedEdge,002,frame0048
RedEdge,002,frame0051
RedEdge,002,frame0052
RedEdge,002,frame0053
RedEdge,002,frame0054
RedEdge,002,frame0060
RedEdge,002,frame0064
RedEdge,002,frame0065
RedEdge,002,frame0066
RedEdge,002,frame0067
RedEdge,002,frame0068
RedEdge,002,frame0069
RedEdge,002,frame0075
RedEdge,002,frame0078
RedEdge,002,frame0079
RedEdge,002,frame0080
RedEdge,002,frame0081
RedEdge,002,frame0082
RedEdge,002,frame0083
RedEdge,002,frame0091
RedEdge,002,frame0092
RedEdge,002,frame0093
RedEdge,002,frame0094
RedEdge,002,frame0095
RedEdge,002,frame0096
RedEdge,002,frame0097
RedEdge,002,frame0104
RedEdge,002,frame0105
RedEdge,002,frame0106
RedEdge,002,frame0107
RedEdge,002,frame0108
RedEdge,002,frame0109
RedEdge,002,frame0110
RedEdge,002,frame0118
RedEdge,002,frame0119
RedEdge,002,frame0120
RedEdge,002,frame0121
RedEdge,002,frame0122
RedEdge,002,frame0123
RedEdge,002,frame0131
RedEdge,002,frame0132
RedEdge,002,frame0133
RedEdge,002,frame0134
RedEdge,002,frame0135
RedEdge,002,frame0136
RedEdge,002,frame0137
RedEdge,002,frame0144
RedEdge,002,frame0145
RedEdge,002,frame0146
RedEdge,002,frame0147
RedEdge,002,frame0148
RedEdge,002,frame0149
RedEdge,002,frame0150
RedEdge,002,frame0154
RedEdge,002,frame0156
RedEdge,002,frame0157
RedEdge,002,frame0158
RedEdge,002,frame0159
RedEdge,002,frame0160
RedEdge,002,frame0161
RedEdge,002,frame0162
RedEdge,002,frame0163
RedEdge,002,frame0168
RedEdge,002,frame0171
RedEdge,002,frame0172
RedEdge,002,frame0173
RedEdge,002,frame0174
RedEdge,002,frame0175
RedEdge,002,frame0176
RedEdge,002,frame0177
RedEdge,002,frame0182
RedEdge,002,frame0183
RedEdge,002,frame0184
RedEdge,002,frame0185
RedEdge,002,frame0186
RedEdge,002,frame0187
RedEdge,002,frame0188
RedEdge,002,frame0189
RedEdge,002,frame0190
RedEdge,002,frame0197
RedEdge,002,frame0198
RedEdge,002,frame0199
RedEdge,002,frame0200
RedEdge,002,frame0201
RedEdge,002,frame0202
RedEdge,002,frame0203
RedEdge,002,frame0212
RedEdge,002,frame0213
RedEdge,002,frame0214
RedEdge,002,frame0215
RedEdge,002,frame0216
RedEdge,002,frame0217
RedEdge,002,frame0227
RedEdge,002,frame0228
RedEdge,002,frame0229
RedEdge,002,frame0230
RedEdge,002,frame0242
RedEdge,002,frame0243
RedEdge,003,frame0007
RedEdge,003,frame0008
RedEdge,003,frame0009
RedEdge,003,frame0019
RedEdge,003,frame0020
RedEdge,003,frame0021
RedEdge,003,frame0022
RedEdge,003,frame0030
RedEdge,003,frame0031
RedEdge,003,frame0032
RedEdge,003,frame0033
RedEdge,003,frame0034
RedEdge,003,frame0041
RedEdge,003,frame0042
RedEdge,003,frame0043
RedEdge,003,frame0044
RedEdge,003,frame0045
RedEdge,003,frame0046
RedEdge,003,frame0047
RedEdge,003,frame0053
RedEdge,003,frame0054
RedEdge,003,frame0055
RedEdge,003,frame0056
RedEdge,003,frame0057
RedEdge,003,frame0058
RedEdge,003,frame0059
RedEdge,003,frame0064
RedEdge,003,frame0065
RedEdge,003,frame0066
RedEdge,003,frame0067
RedEdge,003,frame0068
RedEdge,003,frame0069
RedEdge,003,frame0070
RedEdge,003,frame0076
RedEdge,003,frame0077
RedEdge,003,frame0078
RedEdge,003,frame0079
RedEdge,003,frame0080
RedEdge,003,frame0081
RedEdge,003,frame0087
RedEdge,003,frame0088
RedEdge,003,frame0089
RedEdge,003,frame0090
RedEdge,003,frame0091
RedEdge,003,frame0092
RedEdge,003,frame0098
RedEdge,003,frame0099
RedEdge,003,frame0100
RedEdge,003,frame0101
RedEdge,003,frame0102
RedEdge,003,frame0103
RedEdge,003,frame0104
RedEdge,003,frame0109
RedEdge,003,frame0110
RedEdge,003,frame0111
RedEdge,003,frame0112
RedEdge,003,frame0113
RedEdge,003,frame0114
RedEdge,003,frame0115
RedEdge,003,frame0121
RedEdge,003,frame0122
RedEdge,003,frame0123
RedEdge,003,frame0124
RedEdge,003,frame0125
RedEdge,003,frame0126
RedEdge,003,frame0132
RedEdge,003,frame0133
RedEdge,003,frame0134
RedEdge,003,frame0135
RedEdge,003,frame0136
RedEdge,003,frame0137
RedEdge,003,frame0144
RedEdge,003,frame0145
RedEdge,003,frame0146
RedEdge,003,frame0147
RedEdge,003,frame0148
RedEdge,003,frame0149
RedEdge,003,frame0156
RedEdge,003,frame0157
RedEdge,003,frame0158
RedEdge,003,frame0159
RedEdge,003,frame0160
RedEdge,003,frame0168
RedEdge,003,frame0169
RedEdge,003,frame0170
RedEdge,003,frame0171
RedEdge,003,frame0181
RedEdge,003,frame0182
RedEdge,003,frame0183
RedEdge,004,frame0007
RedEdge,004,frame0015
RedEdge,004,frame0016
RedEdge,004,frame0017
RedEdge,004,frame0024
RedEdge,004,frame0025
RedEdge,004,frame0026
RedEdge,004,frame0032
RedEdge,004,frame0033
RedEdge,004,frame0034
RedEdge,004,frame0035
RedEdge,004,frame0040
RedEdge,004,frame0041
RedEdge,004,frame0042
RedEdge,004,frame0043
RedEdge,004,frame0044
RedEdge,004,frame0045
RedEdge,004,frame0046
RedEdge,004,frame0049
RedEdge,004,frame0050
RedEdge,004,frame0051
RedEdge,004,frame0052
RedEdge,004,frame0053
RedEdge,004,frame0055
RedEdge,004,frame0056
RedEdge,004,frame0057
RedEdge,004,frame0058
RedEdge,004,frame0059
RedEdge,004,frame0060
RedEdge,004,frame0061
RedEdge,004,frame0062
RedEdge,004,frame0063
RedEdge,004,frame0064
RedEdge,004,frame0065
RedEdge,004,frame0066
RedEdge,004,frame0067
RedEdge,004,frame0068
RedEdge,004,frame0069
RedEdge,004,frame0070
RedEdge,004,frame0074
RedEdge,004,frame0075
RedEdge,004,frame0076
RedEdge,004,frame0077
RedEdge,004,frame0078
RedEdge,004,frame0079
RedEdge,004,frame0082
RedEdge,004,frame0083
RedEdge,004,frame0084
RedEdge,004,frame0085
RedEdge,004,frame0086
RedEdge,004,frame0087
RedEdge,004,frame0094
RedEdge,004,frame0095
RedEdge,004,frame0101
RedEdge,004,frame0102
